Station,10-17,18-24,25-40,41-59,60+,Unknown,Total
110 ST.-CATHEDRAL PKWY.,0,37,50,15,2,1,105
1,0,34,46,12,2,1,95
"B,C",0,3,4,3,0,0,10
110 ST.-CENTRAL PARK NORTH,0,13,35,14,1,0,63
"2,3",0,13,35,14,1,0,63
110 STREET,0,2,3,3,0,0,8
6,0,2,3,3,0,0,8
116 ST.-COLUMBIA UNIVERSITY,2,61,26,9,0,1,99
1,2,61,26,9,0,1,99
116 STREET,0,40,84,28,3,0,155
"2,3",0,21,46,6,1,0,74
6,0,19,33,20,2,0,74
"B,C",0,0,5,2,0,0,7
125 STREET,7,160,255,109,5,4,540
1,1,24,25,10,1,1,62
"2,3",1,13,27,16,1,1,59
"4,5,6",1,30,66,20,1,0,118
"A,B,C,D",4,93,137,63,2,2,301
135 STREET,1,41,72,36,1,0,151
"2,3",1,33,56,23,1,0,114
"B,C",0,8,16,13,0,0,37
137 ST.-CITY COLLEGE,0,44,63,16,1,0,124
1,0,44,63,16,1,0,124
14 ST.-UNION SQUARE,2,28,40,4,0,0,74
L,2,28,40,4,0,0,74
14 STREET,26,390,421,109,16,3,965
"1,2,3",2,21,28,11,2,0,64
"4,5,6",18,292,302,75,11,3,701
"A,C,E",6,71,82,21,2,0,182
"F,M",0,6,9,2,1,0,18
145 STREET,6,258,320,104,10,1,699
1,0,23,30,16,0,0,69
3,0,10,7,8,2,1,28
"A,B,C,D",6,225,283,80,8,0,602
148 ST.-HARLEM,0,0,5,1,0,0,6
3,0,0,5,1,0,0,6
155 STREET,0,1,5,3,0,0,9
"B,D",0,1,0,2,0,0,3
C,0,0,5,1,0,0,6
157 STREET,0,26,28,7,3,0,64
1,0,26,28,7,3,0,64
163 ST.-AMSTERDAM AVE.,0,24,38,19,3,0,84
C,0,24,38,19,3,0,84
168 ST.-WASHINGTON HTS.,4,60,77,19,1,0,161
1,1,18,26,8,1,0,54
"A,C",3,42,51,11,0,0,107
175 STREET,2,33,65,22,3,1,126
A,2,33,65,22,3,1,126
18 STREET,0,1,1,0,0,0,2
1,0,1,1,0,0,0,2
181 STREET,0,7,20,7,1,0,35
1,0,6,14,7,0,0,27
A,0,1,6,0,1,0,8
190 STREET,0,4,2,1,0,0,7
A,0,4,2,1,0,0,7
191 STREET,1,32,58,20,0,0,111
1,1,32,58,20,0,0,111
2 AVENUE,2,10,14,0,2,0,28
F,2,10,14,0,2,0,28
200 ST.-DYCKMAN ST.,4,79,103,40,4,0,230
1,2,70,82,34,4,0,192
A,2,9,21,6,0,0,38
207 ST.-INWOOD,1,9,18,7,0,0,35
A,1,9,18,7,0,0,35
207 STREET,0,15,12,6,1,0,34
1,0,15,12,6,1,0,34
215 STREET,0,3,5,1,0,0,9
1,0,3,5,1,0,0,9
225 ST.-MARBLE HILL,0,2,0,2,0,0,4
1,0,2,0,2,0,0,4
23 STREET,1,69,98,38,4,1,211
1,0,10,9,5,0,0,24
6,0,38,52,19,2,1,112
"C,E",0,2,9,4,1,0,16
"F,M",1,15,19,8,1,0,44
"N,R",0,4,9,2,0,0,15
238 STREET,0,2,1,1,0,0,4
1,0,2,1,1,0,0,4
242 ST.-VAN CORTLANDT PARK,0,21,24,18,0,0,63
1,0,21,24,18,0,0,63
28 STREET,3,115,174,71,6,1,370
1,0,3,6,2,0,0,11
6,3,109,160,67,6,1,346
"N,R",0,3,8,2,0,0,13
3 AVENUE,0,5,4,3,0,0,12
L,0,5,4,3,0,0,12
33 STREET,0,48,71,18,7,0,144
6,0,48,71,18,7,0,144
34 ST.-HERALD SQ.,16,215,266,74,13,2,586
"B,D,F",16,215,266,74,13,2,586
34 ST.-PENN STATION,14,393,574,193,38,1,1213
"1,2,3",6,114,156,48,13,0,337
"A,C,E",8,279,418,145,25,1,876
34 STREET,4,87,65,20,0,0,176
7,2,13,16,4,0,0,35
"M,N,Q,R",2,74,49,16,0,0,141
42 ST.-GRAND CENTRAL,25,478,580,180,27,8,1298
"4,5,6",7,216,250,84,17,3,577
7,1,21,29,8,0,4,63
S,17,241,301,88,10,1,658
42 ST.-PORT AUTHORITY BUS TERMINAL,26,662,1029,306,35,16,2074
"A,C,E",26,662,1029,306,35,16,2074
42 ST.-TIMES SQUARE,18,441,550,137,17,5,1168
"1,2,3",12,297,378,88,16,4,795
7,1,34,36,5,0,1,77
"N,Q,R",0,42,55,18,1,0,116
S,5,68,81,26,0,0,180
42 STREET,1,50,82,27,3,2,165
"B,D,F,M",1,50,82,27,3,2,165
47-50 STS./ROCKEFELLER CTR.,0,41,56,12,0,0,109
"B,D,F,M",0,41,56,12,0,0,109
49 STREET,0,19,19,7,1,0,46
"N,Q,R",0,19,19,7,1,0,46
5 AVENUE,2,17,23,8,0,0,50
7,0,5,10,2,0,0,17
"E,M",2,9,11,4,0,0,26
"N,Q,R",0,3,2,2,0,0,7
50 STREET,0,34,63,20,3,2,122
1,0,12,19,6,1,2,40
"C,E",0,22,44,14,2,0,82
51 STREET,3,57,70,35,5,2,172
6,3,57,70,35,5,2,172
57 STREET,2,17,29,14,2,0,64
F,0,1,0,0,0,0,1
"N,Q,R",2,16,29,14,2,0,63
59 ST.-COLUMBUS CIRCLE,19,494,558,164,11,7,1253
1,7,135,186,54,3,3,388
"A,B,C,D",12,359,372,110,8,4,865
59 STREET,4,56,85,23,2,0,170
"4,5,6",4,56,85,23,2,0,170
6 AVENUE,0,1,0,1,0,0,2
L,0,1,0,1,0,0,2
66 ST.-LINCOLN CENTER,0,6,7,1,0,0,14
1,0,6,7,1,0,0,14
68 ST.-HUNTER COLLEGE,1,44,30,12,1,0,88
6,1,44,30,12,1,0,88
7 AVENUE,0,4,4,0,0,0,8
"B,D,E",0,4,4,0,0,0,8
72 STREET,1,21,36,16,3,0,77
"1,2,3",1,19,35,16,2,0,73
"B,C",0,2,1,0,1,0,4
72ND STREET,2,5,9,2,1,0,19
Q,2,5,9,2,1,0,19
77 STREET,4,48,74,20,1,2,149
6,4,48,74,20,1,2,149
79 STREET,1,5,4,4,2,0,16
1,1,5,4,4,2,0,16
8 AVENUE,0,6,0,2,0,0,8
L,0,6,0,2,0,0,8
8 ST.-NYU,0,14,7,2,0,0,23
"N,R",0,14,7,2,0,0,23
81 ST.-MUSEUM OF NATURAL HISTORY,0,5,2,0,0,0,7
"B,C",0,5,2,0,0,0,7
86 STREET,8,122,124,58,6,3,321
1,3,21,17,7,0,0,48
"4,5,6",4,89,101,46,6,3,249
"B,C",1,12,6,5,0,0,24
86TH STREET,0,4,9,7,0,0,20
Q,0,4,9,7,0,0,20
96 STREET,4,56,84,51,3,1,199
"1,2,3",3,45,53,39,1,0,141
6,1,10,27,11,2,1,52
"B,C",0,1,4,1,0,0,6
96TH STREET,1,9,24,9,1,0,44
Q,1,9,24,9,1,0,44
ASTOR PLACE,0,4,2,1,1,0,8
6,0,4,2,1,1,0,8
BLEECKER STREET,2,41,65,30,4,0,142
6,2,41,65,30,4,0,142
BOWERY,0,3,2,1,0,0,6
"J,Z",0,3,2,1,0,0,6
BOWLING GREEN,0,17,28,7,0,0,52
"4,5",0,17,28,7,0,0,52
BROADWAY/LAFAYETTE,3,36,63,12,0,2,116
"B,D,F,M",3,36,63,12,0,2,116
BROADWAY/NASSAU,6,155,243,65,4,0,473
"A,C",6,155,243,65,4,0,473
BROOKLYN BRIDGE-CITY HALL,0,5,7,5,1,0,18
"4,5,6",0,5,7,5,1,0,18
CANAL STREET,12,124,131,42,9,0,318
1,1,0,2,0,0,0,3
6,1,9,5,3,1,0,19
"A,C,E",9,115,121,36,8,0,289
"J,Z",0,0,0,1,0,0,1
